,,Dec-01,Dec-01,Dec-02,Dec-02,Dec-03,Dec-03,Dec-04,Dec-04,Dec-05,Dec-05,Dec-06,Dec-06,Dec-07,Dec-07,Dec-08,Dec-08,Dec-09,Dec-09,Dec-10,Dec-10,Dec-11,Dec-11,Dec-12,Dec-12,Dec-13,Dec-13,Dec-14,Dec-14,Dec-15,Dec-15,Dec-16,Dec-16,Dec-17,Dec-17,Dec-18,Dec-18,Dec-19,Dec-19,Dec-20,Dec-20,Dec-21,Dec-21,Dec-22,Dec-22,Dec-23,Dec-23,Dec-24,Dec-24,Dec-25,Dec-25,Dec-26,Dec-26,Dec-27,Dec-27,Dec-28,Dec-28,Dec-29,Dec-29,Dec-30,Dec-30,Dec-31,Dec-31
Product ID,Brand,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units
ITEM5047,Lemon,0,0,852,3,284,1,0,0,568,2,284,1,852,3,0,0,0,0,568,2,0,0,284,1,0,0,0,0,573,2,177,1,466,2,0,0,857,3,568,2,466,2,867,3,2797,12,1110,5,1464,7,1380,5,1647,6,1333,5,3637,18,1221,5,2797,12
ITEM3062,Mango,12552,22,13693,24,19969,35,14264,25,10840,19,7988,14,7988,14,15405,27,11411,20,19969,35,11981,21,17687,31,19774,35,19531,35,9487,17,15754,28,33482,60,18415,33,25670,46,27923,50,15089,27,16183,29,36273,65,54130,97,40737,73,41853,75,46317,83,62574,117,41181,77,59365,111,36273,65
ITEM8095,Mango,1161,9,129,1,1161,9,1032,8,516,4,645,5,645,5,1419,11,903,7,1032,8,645,5,387,3,1419,11,645,5,645,5,645,5,1290,10,258,2,516,4,1806,14,645,5,1419,11,2493,19,2064,16,1161,9,1161,9,1719,13,595,5,833,7,357,3,2493,19
ITEM8265,Apple,4116,2,14392,8,34181,19,16191,9,25815,15,42905,25,18799,11,22217,13,15381,9,27344,16,20508,12,25635,15,27344,16,34180,20,23926,14,18799,11,30762,18,20528,12,13692,8,18809,11,13592,8,5507,3,8405,5,17000,10,6706,4,12423,7,-1099,-1,39677,23,15291,9,15301,9,8405,5
ITEM8226,Guava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,4,658,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITEM3567,Orange,289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,1,0,0,0,0,0,0,289,1,249,1,289,1,0,0,0,0,289,1,0,0,514,2,257,1,257,1,0,0,0,0,0,0,0,0,0,0
ITEM5418,Mango,16512,128,18576,144,19737,153,19350,150,16125,125,17159,133,16512,128,16383,127,22446,174,23736,184,20640,160,19737,153,22581,175,20640,160,21801,169,25596,198,27606,214,21801,169,18576,144,21154,164,21164,164,23349,181,25284,196,26961,209,25026,194,25155,195,20507,159,23226,180,23349,181,22704,176,25284,196
ITEM1785,Apple,0,0,1135,4,851,3,2838,10,3406,12,1014,4,1987,7,2554,9,568,2,1987,7,2554,9,3122,11,1524,5,3122,11,1987,7,2838,10,2554,9,1419,5,2270,8,2270,8,1987,7,4541,16,2838,10,3689,13,3689,13,1703,6,1135,4,1135,4,568,2,1135,4,2838,10
ITEM7423,Mango,597,3,1393,7,2388,12,1990,10,1592,8,1194,6,2786,14,2587,13,5572,28,5174,26,2587,13,3383,17,3582,18,3980,20,3781,19,2291,11,3781,19,2189,11,2189,11,2786,14,2388,12,3184,16,2388,12,5373,27,4082,20,1791,9,1592,8,2587,13,2189,11,2587,13,2388,12
ITEM8923,Lemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITEM3032,Apple,16450,33,15769,32,19212,39,24138,49,21245,43,22283,45,20197,41,17734,36,20197,41,24138,49,24631,50,13793,28,17242,35,14778,30,17734,36,15271,31,24631,50,22660,46,23645,48,23153,47,27094,55,38441,78,43964,91,50245,104,31403,65,30437,63,34785,72,29631,60,27586,56,21182,43,43964,91
ITEM3313,Apple,10994,13,10291,12,11979,14,9447,11,4221,5,2477,3,12878,15,11190,13,7649,9,6916,8,12878,15,9282,11,11868,14,13666,16,10181,12,8438,10,5907,7,5063,6,5876,7,5853,7,7526,9,6690,8,5840,7,6674,8,5006,6,10846,13,5840,7,6769,8,10969,13,5907,7,5840,7
ITEM8108,Mango,9087,13,6291,9,6990,10,8388,12,7689,11,7689,11,9087,13,11184,16,11883,17,12582,18,11883,17,11883,17,10784,16,16874,26,12980,20,15856,24,15576,24,13629,21,15576,24,18172,28,11033,17,17523,27,22066,34,16225,25,14927,23,18172,28,20119,31,23750,38,20000,32,13750,22,22066,34
ITEM3659,Mango,17132,41,23400,56,30086,72,17132,41,18804,45,16714,40,12536,30,20475,49,21729,52,24236,58,21311,51,19222,46,15880,38,11282,27,18804,45,13372,32,11282,27,13789,33,13372,32,11700,28,15461,37,15879,38,14625,35,16297,39,16714,40,17132,41,10447,25,8775,21,9193,22,11282,27,14625,35
ITEM2978,Apple,227,1,0,0,359,2,0,0,0,0,362,2,0,0,179,1,179,1,179,1,0,0,179,1,179,1,0,0,0,0,179,1,0,0,538,3,179,1,172,1,0,0,172,1,170,1,170,1,340,2,0,0,0,0,402,2,0,0,170,1,170,1
ITEM9485,Mango,21600,160,19035,141,18495,137,19170,142,15930,118,19049,141,20250,150,20115,149,17955,133,20115,149,9720,72,675,5,2295,17,945,7,24030,178,29685,216,34830,258,27540,204,26190,194,27270,202,23909,177,32940,244,32265,239,25785,191,20250,150,10530,78,8259,61,27369,212,30187,234,27994,217,32265,239
ITEM5498,Lemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITEM1945,Lemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITEM5204,Lemon,877,3,767,3,1196,4,837,3,877,3,957,3,1156,4,1196,4,3348,12,279,1,558,2,837,3,2073,7,558,2,1714,6,1395,5,1116,4,279,1,279,1,279,1,1668,8,185,1,764,4,804,4,613,3,1560,8,925,5,1110,6,1375,7,1190,6,764,4
ITEM2513,Apple,10148,12,5228,6,6806,8,8548,10,15358,18,14441,17,10126,12,16087,19,5118,6,10969,13,14400,17,12823,15,10199,12,16253,19,9447,11,10291,12,8548,10,7815,9,10166,12,10996,13,12606,15,11059,13,7573,9,9307,11,9053,11,12958,19,13147,19,19374,28,13147,19,11071,16,7573,9
ITEM3731,Apple,10472,17,6776,11,7629,12,7392,12,8394,16,6120,10,11767,23,8697,17,17394,34,9209,18,9720,19,14730,29,7181,14,12600,25,11592,23,12883,31,11152,31,10072,28,13310,37,10792,30,11871,33,12950,36,17986,50,15109,42,14749,41,15828,44,19785,55,14749,41,14749,41,14389,40,17986,50
ITEM3632,Lemon,0,0,632,2,0,0,0,0,316,1,632,2,672,2,632,2,316,1,1304,4,316,1,672,2,632,2,712,2,1620,5,672,2,316,1,2252,7,632,2,0,0,672,2,948,3,0,0,0,0,0,0,1896,6,316,1,672,2,316,1,1304,4,0,0
ITEM7636,Orange,0,0,0,0,0,0,538,2,0,0,0,0,309,1,0,0,0,0,0,0,269,1,0,0,269,1,0,0,0,0,0,0,0,0,0,0,1216,4,0,0,309,1,0,0,269,1,269,1,0,0,0,0,269,1,0,0,0,0,-267,-1,269,1
ITEM8061,Lemon,0,0,244,1,488,2,244,1,0,0,488,2,244,1,0,0,812,3,772,3,0,0,488,2,0,0,0,0,244,1,0,0,0,0,0,0,244,1,244,1,732,3,0,0,0,0,0,0,0,0,732,3,732,3,732,3,732,3,0,0,0,0
ITEM9891,Mango,2716,4,3395,5,2037,3,2037,3,2037,3,4753,7,4074,6,4074,6,1358,2,2037,3,2716,4,3395,5,2007,3,4543,7,7788,12,3245,5,5841,9,2596,4,5192,8,5192,8,3894,6,6490,10,9735,15,12331,19,5192,8,9086,14,5192,8,8985,15,11381,19,7787,13,9735,15
ITEM4894,Lemon,487,3,1163,7,1083,7,487,3,716,4,447,3,984,6,785,5,865,5,636,4,596,4,1014,6,447,3,487,3,447,3,905,5,865,5,189,1,785,5,338,2,1075,5,1314,6,1632,8,1075,5,2349,11,677,3,1234,6,1632,8,1115,5,1075,5,1632,8
ITEM1375,Mango,16450,33,15769,32,19212,39,24138,49,21245,43,22283,45,20197,41,17734,36,20197,41,24138,49,24631,50,13793,28,17242,35,14778,30,17734,36,15271,31,24631,50,22660,46,23645,48,23153,47,27094,55,38441,78,43964,91,50245,104,31403,65,30437,63,34785,72,29631,60,27586,56,21182,43,43964,91
ITEM9640,Apple,10994,13,10291,12,11979,14,9447,11,4221,5,2477,3,12878,15,11190,13,7649,9,6916,8,12878,15,9282,11,11868,14,13666,16,10181,12,8438,10,5907,7,5063,6,5876,7,5853,7,7526,9,6690,8,5840,7,6674,8,5006,6,10846,13,5840,7,6769,8,10969,13,5907,7,5840,7
ITEM7902,Apple,9087,13,6291,9,6990,10,8388,12,7689,11,7689,11,9087,13,11184,16,11883,17,12582,18,11883,17,11883,17,10784,16,16874,26,12980,20,15856,24,15576,24,13629,21,15576,24,18172,28,11033,17,17523,27,22066,34,16225,25,14927,23,18172,28,20119,31,23750,38,20000,32,13750,22,22066,34
ITEM4459,Mango,17132,41,23400,56,30086,72,17132,41,18804,45,16714,40,12536,30,20475,49,21729,52,24236,58,21311,51,19222,46,15880,38,11282,27,18804,45,13372,32,11282,27,13789,33,13372,32,11700,28,15461,37,15879,38,14625,35,16297,39,16714,40,17132,41,10447,25,8775,21,9193,22,11282,27,14625,35
ITEM9894,Mango,227,1,0,0,359,2,0,0,0,0,362,2,0,0,179,1,179,1,179,1,0,0,179,1,179,1,0,0,0,0,179,1,0,0,538,3,179,1,172,1,0,0,172,1,170,1,170,1,340,2,0,0,0,0,402,2,0,0,170,1,170,1
ITEM6251,Mango,21600,160,19035,141,18495,137,19170,142,15930,118,19049,141,20250,150,20115,149,17955,133,20115,149,9720,72,675,5,2295,17,945,7,24030,178,29685,216,34830,258,27540,204,26190,194,27270,202,23909,177,32940,244,32265,239,25785,191,20250,150,10530,78,8259,61,27369,212,30187,234,27994,217,32265,239
ITEM6307,Lemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITEM4609,Mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITEM5747,Lemon,877,3,767,3,1196,4,837,3,877,3,957,3,1156,4,1196,4,3348,12,279,1,558,2,837,3,2073,7,558,2,1714,6,1395,5,1116,4,279,1,279,1,279,1,1668,8,185,1,764,4,804,4,613,3,1560,8,925,5,1110,6,1375,7,1190,6,764,4
ITEM8090,Mango,10148,12,5228,6,6806,8,8548,10,15358,18,14441,17,10126,12,16087,19,5118,6,10969,13,14400,17,12823,15,10199,12,16253,19,9447,11,10291,12,8548,10,7815,9,10166,12,10996,13,12606,15,11059,13,7573,9,9307,11,9053,11,12958,19,13147,19,19374,28,13147,19,11071,16,7573,9
ITEM6199,Mango,10472,17,6776,11,7629,12,7392,12,8394,16,6120,10,11767,23,8697,17,17394,34,9209,18,9720,19,14730,29,7181,14,12600,25,11592,23,12883,31,11152,31,10072,28,13310,37,10792,30,11871,33,12950,36,17986,50,15109,42,14749,41,15828,44,19785,55,14749,41,14749,41,14389,40,17986,50
ITEM6544,Orange,0,0,632,2,0,0,0,0,316,1,632,2,672,2,632,2,316,1,1304,4,316,1,672,2,632,2,712,2,1620,5,672,2,316,1,2252,7,632,2,0,0,672,2,948,3,0,0,0,0,0,0,1896,6,316,1,672,2,316,1,1304,4,0,0
ITEM1731,Orange,0,0,0,0,0,0,538,2,0,0,0,0,309,1,0,0,0,0,0,0,269,1,0,0,269,1,0,0,0,0,0,0,0,0,0,0,1216,4,0,0,309,1,0,0,269,1,269,1,0,0,0,0,269,1,0,0,0,0,-267,-1,269,1
ITEM1406,Orange,0,0,244,1,488,2,244,1,0,0,488,2,244,1,0,0,812,3,772,3,0,0,488,2,0,0,0,0,244,1,0,0,0,0,0,0,244,1,244,1,732,3,0,0,0,0,0,0,0,0,732,3,732,3,732,3,732,3,0,0,0,0
ITEM9717,Apple,2716,4,3395,5,2037,3,2037,3,2037,3,4753,7,4074,6,4074,6,1358,2,2037,3,2716,4,3395,5,2007,3,4543,7,7788,12,3245,5,5841,9,2596,4,5192,8,5192,8,3894,6,6490,10,9735,15,12331,19,5192,8,9086,14,5192,8,8985,15,11381,19,7787,13,9735,15
ITEM4838,Mango,487,3,1163,7,1083,7,487,3,716,4,447,3,984,6,785,5,865,5,636,4,596,4,1014,6,447,3,487,3,447,3,905,5,865,5,189,1,785,5,338,2,1075,5,1314,6,1632,8,1075,5,2349,11,677,3,1234,6,1632,8,1115,5,1075,5,1632,8
ITEM7423,Mango,16450,33,15769,32,19212,39,24138,49,21245,43,22283,45,20197,41,17734,36,20197,41,24138,49,24631,50,13793,28,17242,35,14778,30,17734,36,15271,31,24631,50,22660,46,23645,48,23153,47,27094,55,38441,78,43964,91,50245,104,31403,65,30437,63,34785,72,29631,60,27586,56,21182,43,43964,91
ITEM8277,Lemon,10994,13,10291,12,11979,14,9447,11,4221,5,2477,3,12878,15,11190,13,7649,9,6916,8,12878,15,9282,11,11868,14,13666,16,10181,12,8438,10,5907,7,5063,6,5876,7,5853,7,7526,9,6690,8,5840,7,6674,8,5006,6,10846,13,5840,7,6769,8,10969,13,5907,7,5840,7
ITEM5806,Orange,9087,13,6291,9,6990,10,8388,12,7689,11,7689,11,9087,13,11184,16,11883,17,12582,18,11883,17,11883,17,10784,16,16874,26,12980,20,15856,24,15576,24,13629,21,15576,24,18172,28,11033,17,17523,27,22066,34,16225,25,14927,23,18172,28,20119,31,23750,38,20000,32,13750,22,22066,34
ITEM1791,Apple,17132,41,23400,56,30086,72,17132,41,18804,45,16714,40,12536,30,20475,49,21729,52,24236,58,21311,51,19222,46,15880,38,11282,27,18804,45,13372,32,11282,27,13789,33,13372,32,11700,28,15461,37,15879,38,14625,35,16297,39,16714,40,17132,41,10447,25,8775,21,9193,22,11282,27,14625,35
ITEM5665,Mango,227,1,0,0,359,2,0,0,0,0,362,2,0,0,179,1,179,1,179,1,0,0,179,1,179,1,0,0,0,0,179,1,0,0,538,3,179,1,172,1,0,0,172,1,170,1,170,1,340,2,0,0,0,0,402,2,0,0,170,1,170,1
